document,degradation,level,pipeline,cer,wer,taux_mots_detectes,taux_mots_manquants
89386032.png,flou_gaussien,moyen,aucun,0.8649068322981367,1.0,0.0,1.0
89386032.png,flou_gaussien,moyen,deskew_seul,0.8944099378881988,1.0,0.0,1.0
89386032.png,flou_gaussien,moyen,denoise_seul,0.9829192546583851,1.0,0.0,1.0
89386032.png,flou_gaussien,moyen,contraste_seul,0.9642857142857143,0.9891304347826086,0.012658227848101266,0.9873417721518988
89386032.png,flou_gaussien,moyen,binarisation_seule,0.7686335403726708,0.9891304347826086,0.02531645569620253,0.9746835443037974
89386032.png,flou_gaussien,moyen,pipeline_complet,0.8090062111801242,1.0,0.012658227848101266,0.9873417721518988
00866042.png,flou_gaussien,moyen,aucun,0.9910714285714286,1.0,0.0,1.0
00866042.png,flou_gaussien,moyen,deskew_seul,0.9672619047619048,0.9948186528497409,0.006134969325153374,0.9938650306748467
00866042.png,flou_gaussien,moyen,denoise_seul,1.0,1.0,0.0,1.0
00866042.png,flou_gaussien,moyen,contraste_seul,0.9821428571428571,1.0,0.0,1.0
00866042.png,flou_gaussien,moyen,binarisation_seule,0.9084821428571429,0.9844559585492227,0.018404907975460124,0.9815950920245399
00866042.png,flou_gaussien,moyen,pipeline_complet,0.9501488095238095,0.9948186528497409,0.006134969325153374,0.9938650306748467
0000989556.png,flou_gaussien,moyen,aucun,1.0,1.0,0.0,1.0
0000989556.png,flou_gaussien,moyen,deskew_seul,1.0,1.0,0.0,1.0
0000989556.png,flou_gaussien,moyen,denoise_seul,1.0,1.0,0.0,1.0
0000989556.png,flou_gaussien,moyen,contraste_seul,0.9902845246356696,1.0,0.0,1.0
0000989556.png,flou_gaussien,moyen,binarisation_seule,0.8931297709923665,1.0,0.0,1.0
0000989556.png,flou_gaussien,moyen,pipeline_complet,0.9417071478140181,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,aucun,0.9902723735408561,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,deskew_seul,0.9902723735408561,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,denoise_seul,1.0,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,contraste_seul,0.9883268482490273,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,binarisation_seule,0.8249027237354085,1.0,0.0,1.0
0060007216.png,flou_gaussien,moyen,pipeline_complet,0.8540856031128404,0.9761904761904762,0.0136986301369863,0.9863013698630136
87533049.png,flou_gaussien,moyen,aucun,0.9744816586921851,0.9818181818181818,0.021505376344086023,0.978494623655914
87533049.png,flou_gaussien,moyen,deskew_seul,0.9856459330143541,0.990909090909091,0.010752688172043012,0.989247311827957
87533049.png,flou_gaussien,moyen,denoise_seul,1.0,1.0,0.0,1.0
87533049.png,flou_gaussien,moyen,contraste_seul,0.9505582137161085,1.0,0.0,1.0
87533049.png,flou_gaussien,moyen,binarisation_seule,0.8086124401913876,1.0,0.010752688172043012,0.989247311827957
87533049.png,flou_gaussien,moyen,pipeline_complet,1.0,1.0,0.0,1.0
660978.png,flou_gaussien,moyen,aucun,0.9643435980551054,1.0,0.0,1.0
