document,degradation,level,nb_mots_verite_terrain,nb_mots_ocr,cer,wer,taux_mots_detectes,taux_mots_manquants
89817999_8002.png,aucune,original,155,161,0.2906610703043022,0.38064516129032255,0.84251968503937,0.15748031496062997
89867723.png,aucune,original,205,179,0.35948759007205766,0.526829268292683,0.639751552795031,0.36024844720496896
91104867.png,aucune,original,87,119,1.0,1.3218390804597702,0.5733333333333334,0.42666666666666664
91161344_91161347.png,aucune,original,254,224,0.7165021156558533,0.8858267716535433,0.5684931506849316,0.43150684931506844
91315069_91315070.png,aucune,original,81,78,0.3557483731019523,0.5061728395061729,0.7391304347826086,0.26086956521739135
91355841.png,aucune,original,94,55,0.6571969696969697,0.7978723404255319,0.4852941176470588,0.5147058823529411
91356315.png,aucune,original,100,61,0.5404040404040404,0.75,0.4189189189189189,0.5810810810810811
91361993.png,aucune,original,108,51,0.6443298969072165,0.7407407407407407,0.38961038961038963,0.6103896103896104
91372360.png,aucune,original,136,122,0.3850129198966408,0.5588235294117647,0.5862068965517241,0.4137931034482759
91391286.png,aucune,original,99,106,0.463855421686747,0.7676767676767676,0.651685393258427,0.348314606741573
91391310.png,aucune,original,88,85,0.6130573248407644,0.6931818181818182,0.7215189873417721,0.2784810126582279
91581919.png,aucune,original,157,154,0.3140495867768595,0.37579617834394907,0.7868852459016393,0.21311475409836067
91856041_6049.png,aucune,original,76,60,0.4448979591836735,0.6710526315789473,0.47692307692307695,0.523076923076923
91903177.png,aucune,original,106,93,0.4383561643835616,0.6886792452830188,0.7066666666666667,0.29333333333333333
91914407.png,aucune,original,109,98,0.3037974683544304,0.44036697247706424,0.7191011235955056,0.2808988764044944
91939637.png,aucune,original,133,131,0.39149888143176736,0.5037593984962406,0.8155339805825242,0.18446601941747576
91974562.png,aucune,original,107,86,0.34408602150537637,0.5420560747663551,0.6086956521739131,0.3913043478260869
92039708_9710.png,aucune,original,77,54,0.32574031890660593,0.7142857142857143,0.31746031746031744,0.6825396825396826
92081358_1359.png,aucune,original,157,152,0.3258426966292135,0.5414012738853503,0.696,0.30400000000000005
92091873.png,aucune,original,214,197,0.43237250554323725,0.6728971962616822,0.608433734939759,0.39156626506024095
92094746.png,aucune,original,152,142,0.5568927789934355,0.6842105263157895,0.65,0.35
92094751.png,aucune,original,194,171,0.4745470232959448,0.6082474226804123,0.6283783783783784,0.3716216216216216
92298125.png,aucune,original,140,121,0.33248730964467005,0.4642857142857143,0.6695652173913044,0.33043478260869563
92314414.png,aucune,original,240,236,0.2257834757834758,0.325,0.8294117647058824,0.1705882352941176
92327794.png,aucune,original,77,61,0.5401785714285714,0.6103896103896104,0.5588235294117647,0.4411764705882353
92433599_92433601.png,aucune,original,142,123,0.28052805280528054,0.4014084507042254,0.7213114754098361,0.2786885245901639
92586242.png,aucune,original,81,71,0.43,0.7654320987654321,0.463768115942029,0.536231884057971
92657311_7313.png,aucune,original,107,87,0.440625,0.5981308411214953,0.7142857142857143,0.2857142857142857
92657391.png,aucune,original,131,124,0.4236111111111111,0.6259541984732825,0.6909090909090909,0.3090909090909091
93213298.png,aucune,original,186,185,0.42328042328042326,0.6129032258064516,0.7829457364341085,0.21705426356589153
93329540.png,aucune,original,115,116,0.43890675241157556,0.6695652173913044,0.7586206896551724,0.24137931034482762
93351929_93351931.png,aucune,original,111,103,0.5464333781965006,0.7117117117117117,0.7142857142857143,0.2857142857142857
93380187.png,aucune,original,152,107,0.5955176093916755,0.8223684210526315,0.45217391304347826,0.5478260869565217
93455715.png,aucune,original,143,102,0.411543287327478,0.5944055944055944,0.7954545454545454,0.20454545454545459
